Order_ID,Order_Date,State,Gender,Age,Product_Category,Quantity,Unit_Price,Customer_Satisfaction,Total_Price
1,2023-04-13,Florida,Male,44,Toys,4,475.59,3,1902.37
2,2023-12-15,Texas,Female,39,Toys,4,427.55,5,1710.19
3,2023-09-28,Florida,Male,49,Furniture,5,232.52,2,1162.61
4,2023-04-17,California,Female,66,Toys,8,436.74,3,3493.94
5,2023-03-13,Florida,Male,44,Books,7,118.21,4,827.46
6,2023-07-08,Illinois,Male,19,Clothing,9,397.91,2,3581.2
7,2023-01-21,Illinois,Male,62,Clothing,5,100.77,4,503.83
8,2023-04-13,Florida,Male,50,Books,1,409.53,4,409.53
9,2023-05-02,Illinois,Male,43,Toys,4,311.12,4,1244.48
10,2023-08-03,Texas,Female,45,Electronics,6,58.04,5,348.21
11,2023-11-27,Florida,Male,36,Toys,6,448.71,3,2692.24
12,2023-03-29,Texas,Male,60,Clothing,9,293.2,3,2638.79
13,2023-04-10,Texas,Female,22,Electronics,5,331.56,1,1657.81
14,2023-12-26,New York,Female,50,Furniture,5,148.92,2,744.6
15,2023-06-01,Florida,Female,37,Furniture,6,437.1,4,2622.61
16,2023-05-11,Illinois,Male,47,Toys,6,277.15,2,1662.89
17,2023-05-30,Texas,Male,62,Toys,3,216.35,3,649.05
18,2023-11-05,New York,Female,25,Electronics,6,271.8,3,1630.79
19,2023-09-15,Florida,Female,55,Electronics,8,354.62,4,2836.99
20,2023-12-10,Florida,Female,34,Toys,6,350.57,5,2103.44
21,2023-10-21,California,Female,61,Clothing,5,185.21,4,926.06
22,2023-07-11,California,Male,18,Furniture,3,198.78,4,596.33
23,2023-10-04,Texas,Male,20,Electronics,1,285.5,1,285.5
24,2023-06-10,California,Male,63,Clothing,5,462.96,5,2314.8
25,2023-11-10,Texas,Male,43,Toys,6,375.26,2,2251.56
26,2023-01-22,Illinois,Male,48,Books,6,201.3,5,1207.82
27,2023-09-10,Texas,Female,25,Electronics,6,175.15,4,1050.88
28,2023-08-24,California,Male,60,Books,3,266.58,4,799.75
29,2023-12-11,Illinois,Female,63,Clothing,4,436.3,4,1745.18
30,2023-02-18,California,Female,25,Furniture,3,14.25,4,42.76
31,2023-02-28,Texas,Female,52,Clothing,2,358.14,4,716.28
32,2023-06-19,New York,Male,56,Furniture,8,154.31,5,1234.49
33,2023-07-07,Florida,Female,45,Clothing,7,112.11,4,784.8
34,2023-09-28,California,Male,68,Electronics,8,15.95,3,127.58
35,2023-07-09,Texas,Female,21,Electronics,6,449.33,3,2695.98
36,2023-06-24,Illinois,Male,33,Books,7,457.0,1,3199.01
37,2023-02-20,California,Female,30,Clothing,1,40.09,2,40.09
38,2023-12-30,California,Male,37,Clothing,5,265.69,3,1328.45
39,2023-02-24,Florida,Female,68,Books,4,84.76,1,339.05
